name,difficulty,family,group
Hurdy Gurdy,1,key,Idiophones
Celesta,2,key,Idiophones
Glasschord,2,key,Idiophones
Dulcitone,2,key,Idiophones
Pedal Harp,1,string,Plucked
Bar saxophone,3,wind,saxophones
ten saxophone,3,wind,saxophones
sop saxophone,4,wind,saxophones
cb saxophone,4,wind,saxophones
alto saxophone,3,wind,saxophones
alto trombone,3,wind,trombones
Tenor Trombone,3,wind,trombones
French Horn,3,wind,trumpets
