name,difficulty,family,group
Achere,1,percussion,Shaker
Bongos,1,percussion,Drum
Claves,2,percussion,Drum
Guiro,2,percussion,Drum
Steel Drum,3,percussion,Mallet
Maracas,2,percussion,Shaker
Marimba,4,percussion,Mallet
