name,difficulty,family,group
Dholak,1,percussion,drum
Ghungroo,1,percussion,bell
Bell,3,percussion,bell
Gong,2,percussion,bell
Banhu,2,string,bowed
Zhonghu,2,string,bowed
Erhu,4,string,bowed
Dobro Guitar,4,string,strummed
Xiao,3,wind,flutes
Dizi,3,wind,flutes
