name,difficulty,family,group
Cabasa,1,percussion,Shaker
Agogo,2,percussion,Bell
Xylophone,4,percussion,Mallet
Conga,2,percussion,Drum
Rainstick,1,percussion,Shaker
Panflutes,3,wind,flutes
